Player,Tm,Position,Cap_Hit
"Kevin Hayes
",PHI,C,7142857
"Kyle Connor
",WPG,LW,7142857
"Max Pacioretty
",VGK,LW,7000000
James Van,"Riemsdyk
 PHI",LW,7000000
"Gabriel Landeskog
",COL,LW,7000000
"Anders Lee
",NYI,C,7000000
"Mathew Barzal
",NYI,C,7000000
"Marc-Edouard Vlasic
",SJS,D,7000000
"Matthew Tkachuk
",CGY,LW,7000000
"Joe Pavelski
",DAL,C,7000000
"Marc-Andre Fleury
",MIN,G,7000000
"William Nylander
",TOR,C,6962366
"Brent Seabrook
",TBL,D,6875000
"Patrice Bergeron
",BOS,C,6875000
"Ryan Kesler
",ARI,C,6875000
"Philip Kessel
",ARI,RW,6800000
"Ivan Provorov
",PHI,D,6750000
"Brayden Point
",TBL,C,6750000
"Ryan McDonagh
",TBL,D,6750000
"Mark Giordano
",TOR,D,6750000
"Johnny Gaudreau
",CGY,LW,6750000
"David Pastrnak
",BOS,RW,6666666
"Brendan Gallagher
",MTL,RW,6500000
"Justin Faulk
",STL,D,6500000
"Brayden Schenn
",STL,C,6500000
"Torey Krug
",STL,D,6500000
"Sam Reinhart
",FLA,C,6500000
"Cam Fowler
",ANA,D,6500000
"Chris Kreider
",NYR,LW,6500000
"Alexander Debrincat
",CHI,RW,6400000
"John Gibson
",ANA,G,6400000
"Sean Monahan
",CGY,C,6375000
"Nathan MacKinnon
",COL,C,6300000
"Jeff Petry
",MTL,D,6250000
"Matthew Murray
",OTT,G,6250000
"Ryan Ellis
",PHI,D,6250000
"Joshua Morrissey
",WPG,D,6250000
"Alexander Radulov
",DAL,RW,6250000
"Connor Hellebuyck
",WPG,G,6166666
"Mark Scheifele
",WPG,C,6125000
"Brad Marchand
",BOS,LW,6125000
"Jesperi Kotkaniemi
",CAR,C,6100035
"Dylan Larkin
",DET,C,6100000
"Jordan Staal
",CAR,C,6000000
"Jordan Binnington
",STL,G,6000000
"Filip Forsberg
",NSH,C,6000000
"Johnny Boychuk
",BUF,D,6000000
"Rasmus Dahlin
",BUF,D,6000000
"Kyle Okposo
",BUF,RW,6000000
"Nikolaj Ehlers
",WPG,LW,6000000
"Erik Johnson
",COL,D,6000000
"Jake Guentzel
",PIT,C,6000000
"Brock Nelson
",NYI,C,6000000
"Taylor Hall
",BOS,LW,6000000
"Timo Meier
",SJS,LW,6000000
"Loui Eriksson
",ARI,RW,6000000
"Milan Lucic
",CGY,LW,6000000
"Tyler Myers
",VAN,D,6000000
"Jacob Markstrom
",CGY,G,6000000
"Mats Zuccarello-Aasen
",MIN,RW,6000000
"Mathew Dumba
",MIN,D,6000000
"Jonas Brodin
",MIN,D,6000000
"Nate Schmidt
",WPG,D,5950000
"Phillip Grubauer
",SEA,G,5900000
"William Karlsson
",VGK,C,5900000
"Jonathan Huberdeau
",FLA,LW,5900000
"Aleksander Barkov
",FLA,C,5900000
"Cameron Atkinson
",PHI,RW,5875000
"Neal Pionk
",WPG,D,5875000
"Dustin Brown
",LAK,RW,5875000
"Brock Boeser
",VAN,RW,5875000
"Nick Schmaltz
",ARI,C,5850000
"Adam Henrique
",ANA,C,5825000
"Pavel Buchnevich
",STL,LW,5800000
"Jonathan Quick
",LAK,G,5800000
"Esa Lindell
",DAL,D,5800000
"T.J. Oshie
",WAS,RW,5750000
"Adam Pelech
",NYI,D,5750000
"Anthony Mantha
",WAS,RW,5700000
"Igor Shesterkin
",NYR,G,5666667
"Jacob Muzzin
",TOR,D,5625000
"Tomas Hertl
",SJS,C,5625000
"Darnell Nurse
",EDM,D,5600000
"Duncan Keith
",EDM,D,5538462
"Jordan Eberle
",SEA,RW,5500000
"Jaden Schwartz
",SEA,LW,5500000
"Jonathan Drouin
",MTL,LW,5500000
"Josh Anderson
",MTL,RW,5500000
