PLAYER,POS,CAP HIT
"Mathew Dumba
 MIN",D,"$6,000,000"
"Jonas Brodin
 MIN",D,"$6,000,000"
"Nate Schmidt
 WPG",D,"$5,950,000"
"Phillip Grubauer
 SEA",G,"$5,900,000"
"William Karlsson
 VGK",C,"$5,900,000"
"Jonathan Huberdeau
 FLA",LW,"$5,900,000"
"Aleksander Barkov
 FLA",C,"$5,900,000"
"Cameron Atkinson
 PHI",RW,"$5,875,000"
"Neal Pionk
 WPG",D,"$5,875,000"
"Dustin Brown
 LAK",RW,"$5,875,000"
"Brock Boeser
 VAN",RW,"$5,875,000"
"Nick Schmaltz
 ARI",C,"$5,850,000"
"Adam Henrique
 ANA",C,"$5,825,000"
"Pavel Buchnevich
 STL",LW,"$5,800,000"
"Jonathan Quick
 LAK",G,"$5,800,000"
"Esa Lindell
 DAL",D,"$5,800,000"
"T.J. Oshie
 WAS",RW,"$5,750,000"
"Adam Pelech
 NYI",D,"$5,750,000"
"Anthony Mantha
 WAS",RW,"$5,700,000"
"Igor Shesterkin
 NYR",G,"$5,666,667"
"Jacob Muzzin
 TOR",D,"$5,625,000"
"Tomas Hertl
 SJS",C,"$5,625,000"
"Darnell Nurse
 EDM",D,"$5,600,000"
"Duncan Keith
 EDM",D,"$5,538,462"
"Jordan Eberle
 SEA",RW,"$5,500,000"
"Jaden Schwartz
 SEA",LW,"$5,500,000"
"Jonathan Drouin
 MTL",LW,"$5,500,000"
"Josh Anderson
 MTL",RW,"$5,500,000"
"Nick Leddy
 STL",D,"$5,500,000"
"Colton Parayko
 STL",D,"$5,500,000"
"Zach Hyman
 EDM",C,"$5,500,000"
"Travis Konecny
 PHI",C,"$5,500,000"
"Jason Zucker
 PIT",LW,"$5,500,000"
"Gustav Nyquist
 CBJ",RW,"$5,500,000"
"Phillip Danault
 LAK",C,"$5,500,000"
"Andrew Ladd
 ARI",LW,"$5,500,000"
"Bo Horvat
 VAN",C,"$5,500,000"
"Anton Stralman
 ARI",D,"$5,500,000"
"Teuvo Teravainen
 CAR",C,"$5,400,000"
"Seth Jones
 CHI",D,"$5,400,000"
"Rasmus Ristolainen
 PHI",D,"$5,400,000"
"Oliver Bjorkstrand
 CBJ",RW,"$5,400,000"
"Mika Zibanejad
 NYR",C,"$5,350,000"
"Mikael Backlund
 CGY",C,"$5,350,000"
"Max Domi
 CAR",LW,"$5,300,000"
"Jaccob Slavin
 CAR",D,"$5,300,000"
"Ondrej Palat
 TBL",LW,"$5,300,000"
"Patric Hornqvist
 FLA",RW,"$5,300,000"
"Bryan Little
 ARI",C,"$5,291,000"
"Jeff Carter
 PIT",C,"$5,272,727"
"Jakub Vrana
 DET",LW,"$5,250,000"
"Alec Martinez
 VGK",D,"$5,250,000"
"Brady Skjei
 CAR",D,"$5,250,000"
"Nino Niederreiter
 CAR",RW,"$5,250,000"
"Charlie Coyle
 BOS",C,"$5,250,000"
"J.T. Miller
 VAN",C,"$5,250,000"
"Jakob Silfverberg
 ANA",RW,"$5,250,000"
"Joel Eriksson Ek
 MIN",C,"$5,250,000"
"Hampus Lindholm
 BOS",D,"$5,205,556"
"Shea Theodore
 VGK",D,"$5,200,000"
"Yanni Gourde
 SEA",C,"$5,166,666"
"Thomas Wilson
 WAS",RW,"$5,166,666"
"Ryan Nugent-Hopkins
 EDM",C,"$5,125,000"
"Dmitry Orlov
 WAS",D,"$5,100,000"
"Kevin Fiala
 MIN",LW,"$5,100,000"
"Danny DeKeyser
 DET",D,"$5,000,000"
"Reilly Smith
 VGK",RW,"$5,000,000"
"Evgenii Dadonov
 VGK",LW,"$5,000,000"
"Robin Lehner
 VGK",G,"$5,000,000"
"Jonathan Marchessault
 VGK",C,"$5,000,000"
"Tyler Johnson
 CHI",C,"$5,000,000"
"Mikael Granlund
 NSH",C,"$5,000,000"
"Juuse Saros
 NSH",G,"$5,000,000"
"Pierre-Luc Dubois
 WPG",LW,"$5,000,000"
"Samuel Girard
 COL",D,"$5,000,000"
"Morgan Rielly
 TOR",D,"$5,000,000"
"T.J. Brodie
 TOR",D,"$5,000,000"
"Zachary Werenski
 CBJ",D,"$5,000,000"
"Ryan Pulock
 NYI",D,"$5,000,000"
"Jean-Gabriel Pageau
 NYI",C,"$5,000,000"
"Semyon Varlamov
 NYI",G,"$5,000,000"
"Josh Bailey
 NYI",LW,"$5,000,000"
"Kyle Palmieri
 NYI",RW,"$5,000,000"
"Linus Ullmark
 BOS",G,"$5,000,000"
"Thatcher Demko
 VAN",G,"$5,000,000"
"Alex Goligoski
 MIN",D,"$5,000,000"
"Drake Batherson
 OTT",C,"$4,975,000"
"Noah Hanifin
 CGY",D,"$4,950,000"
"Conor Garland
 VAN",RW,"$4,950,000"
"Ben Bishop
 DAL",G,"$4,916,667"
"Andre Burakovsky
 COL",LW,"$4,900,000"
"Charles Mcavoy
 BOS",D,"$4,900,000"
"Blake Coleman
 CGY",C,"$4,900,000"
"Michael Matheson
 PIT",D,"$4,875,000"
"Elias Lindholm
 CGY",C,"$4,850,000"
"Anthony Cirelli
 TBL",C,"$4,800,000"
"Mikhail Sergachev
 TBL",D,"$4,800,000"
"Tyler Bertuzzi
 DET",LW,"$4,750,000"
"Vincent Trocheck
 CAR",C,"$4,750,000"
"Colin White
 OTT",C,"$4,750,000"
"Alex Tuch
 BUF",RW,"$4,750,000"
"Kevin Labanc
 SJS",RW,"$4,725,000"
"Travis Sanheim
 PHI",D,"$4,675,000"
"Jamie Oleksiak
 SEA",D,"$4,600,000"
"Jakob Chychrun
 ARI",D,"$4,600,000"
"Calvin de Haan
 CHI",D,"$4,550,000"
"Rasmus Andersson
 CGY",D,"$4,550,000"
"Shayne Gostisbehere
 ARI",D,"$4,500,000"
"Ryan Strome
 NYR",C,"$4,500,000"
"Alexander Wennberg
 SEA",C,"$4,500,000"
"Frederik Andersen
 CAR",G,"$4,500,000"
"Mike Hoffman
 MTL",LW,"$4,500,000"
"Nikita Zaitsev
 OTT",D,"$4,500,000"
"Brandon Saad
 STL",LW,"$4,500,000"
"Tyson Barrie
 EDM",D,"$4,500,000"
"Mikko Koskinen
 EDM",G,"$4,500,000"
"Nazem Kadri
 COL",C,"$4,500,000"
"Darcy Kuemper
 COL",G,"$4,500,000"
"Tomas Tatar
 NJD",LW,"$4,500,000"
"Chris Tanev
 CGY",D,"$4,500,000"
"Christian Dvorak
 MTL",C,"$4,450,000"
"Alexander Killorn
 TBL",C,"$4,450,000"
"Sam Bennett
 FLA",C,"$4,425,000"
"Filip Hronek
 DET",D,"$4,400,000"
"John Marino
 PIT",D,"$4,400,000"
"Sean Couturier
 PHI",C,"$4,333,333"
"Viktor Arvidsson
 LAK",LW,"$4,250,000"
"John Klingberg
 DAL",D,"$4,250,000"
"Tyler Toffoli
 CGY",RW,"$4,250,000"
"Oscar Klefbom
 EDM",D,"$4,167,000"
"Damon Severson
 NJD",D,"$4,166,666"
"Anthony Beauvillier
 NYI",LW,"$4,150,000"
"Jonathan Bernier
 NJD",G,"$4,125,000"
"Josh Manson
 COL",D,"$4,100,000"
"Devon Toews
 COL",D,"$4,100,000"
"Brian Dumoulin
 PIT",D,"$4,100,000"
"Brandon Carlo
 BOS",D,"$4,100,000"
"Olli Maatta
 LAK",D,"$4,083,333"
"Jake Gardiner
 CAR",D,"$4,050,000"
"Marcus Pettersson
 PIT",D,"$4,025,175"
"Brett Pesce
 CAR",D,"$4,025,000"
"Vince Dunn
 SEA",D,"$4,000,000"
"Victor Rask
 SEA",C,"$4,000,000"
"Adam Larsson
 SEA",D,"$4,000,000"
"David Perron
 STL",LW,"$4,000,000"
"Jake McCabe
 CHI",D,"$4,000,000"
"Justin Schultz
 WAS",D,"$4,000,000"
"Elvis Merzlikins
 CBJ",G,"$4,000,000"
"Alex Iafallo
 LAK",C,"$4,000,000"
"Ilya Sorokin
 NYI",G,"$4,000,000"
"Carter Hart
 PHI",G,"$3,979,000"
"Joonas Donskoi
 SEA",RW,"$3,900,000"
"Andrew Shaw
 CHI",C,"$3,900,000"
"Brenden Dillon
 WPG",D,"$3,900,000"
"Kevin Shattenkirk
 ANA",D,"$3,900,000"
"Colin Miller
 BUF",D,"$3,875,000"
"Connor Murphy
 CHI",D,"$3,850,000"
"Petr Mrazek
 TOR",G,"$3,800,000"
"Nick Foligno
 BOS",LW,"$3,800,000"
"Rickard Rakell
 PIT",C,"$3,789,444"
"Mattias Ekholm
 NSH",D,"$3,750,000"
"Paul Stastny
 WPG",C,"$3,750,000"
"Boone Jenner
 CBJ",C,"$3,750,000"
"Nikita Zadorov
 CGY",D,"$3,750,000"
"Will Butcher
 BUF",D,"$3,733,333"
"Dominik Kubalik
 CHI",LW,"$3,700,000"
"Matthew Grzelcyk
 BOS",D,"$3,687,500"
"Jake DeBrusk
 BOS",LW,"$3,675,000"
"Cameron Talbot
 MIN",G,"$3,666,666"
"Ryan Suter
 DAL",D,"$3,650,000"
"Barclay Goodrow
 NYR",LW,"$3,641,666"
"Andrew Copp
 NYR",C,"$3,640,000"
"Thomas Greiss
 DET",G,"$3,600,000"
"Connor Brown
 OTT",RW,"$3,600,000"
"Brandon Tanev
 SEA",C,"$3,500,000"
"Chris Driedger
 SEA",G,"$3,500,000"
"David Savard
 MTL",D,"$3,500,000"
"Joel Edmundson
 MTL",D,"$3,500,000"
"Chris Tierney
 OTT",C,"$3,500,000"
"Lars Eller
 WAS",C,"$3,500,000"
"Ben Chiarot
 FLA",D,"$3,500,000"
"Brandon Montour
 FLA",D,"$3,500,000"
"J.T Compher
 COL",C,"$3,500,000"
"Tristan Jarry
 PIT",G,"$3,500,000"
"Bryan Rust
 PIT",RW,"$3,500,000"
"Alexander Kerfoot
 TOR",C,"$3,500,000"
"Alexander Edler
 LAK",D,"$3,500,000"
"Cal Clutterbuck
 NYI",RW,"$3,500,000"
"Micheal Ferland
 VAN",LW,"$3,500,000"
"Paul Byron
 MTL",C,"$3,400,000"
"Joel Armia
 MTL",RW,"$3,400,000"
"Andreas Johnsson
 NJD",LW,"$3,400,000"
"Marco Scandella
 STL",D,"$3,275,000"
"Pius Suter
 DET",C,"$3,250,000"
"Cody Ceci
 EDM",D,"$3,250,000"
"MacKenzie Weegar
 FLA",D,"$3,250,000"
"Adam Lowry
 WPG",LW,"$3,250,000"
"Radek Faksa
 DAL",C,"$3,250,000"
"Tanner Pearson
 VAN",LW,"$3,250,000"
"Dmitrij Jaskin
 ARI",RW,"$3,200,000"
"Zack Kassian
 EDM",RW,"$3,200,000"
"Kasperi Kapanen
 PIT",RW,"$3,200,000"
"Ryan Graves
 NJD",D,"$3,166,666"
"Matt Roy
 LAK",D,"$3,150,000"
"Roope Hintz
 DAL",LW,"$3,150,000"
"Craig Smith
 BOS",C,"$3,100,000"
"Marcus Foligno
 MIN",LW,"$3,100,000"
"Victor Olofsson
 BUF",RW,"$3,050,000"
"Ryan Getzlaf
 ANA",C,"$3,000,000"
"Mike Reilly
 BOS",D,"$3,000,000"
"Ryan Lindgren
 NYR",D,"$3,000,000"
"Jay Beagle
 ARI",RW,"$3,000,000"
"Antoine Roussel
 ARI",LW,"$3,000,000"
"Alex Nedeljkovic
 DET",G,"$3,000,000"
"Travis Hamonic
 OTT",D,"$3,000,000"
"Dylan Strome
 CHI",C,"$3,000,000"
"Scott Laughton
 PHI",C,"$3,000,000"
"Oskar Lindblom
 PHI",LW,"$3,000,000"
"Anthony Duclair
 FLA",LW,"$3,000,000"
"Dylan Demelo
 WPG",D,"$3,000,000"
"Derek Forbort
 BOS",D,"$3,000,000"
"Robby Fabbri
 DET",C,"$2,950,000"
"Erik Cernak
 TBL",D,"$2,950,000"
"Jared McCann
 SEA",LW,"$2,940,000"
"Ian Cole
 CAR",D,"$2,900,000"
"Jake Allen
 MTL",G,"$2,875,000"
"Colton Sissons
 NSH",C,"$2,857,412"
"Jordan Kyrou
 STL",C,"$2,800,000"
"Robert Thomas
 STL",C,"$2,800,000"
"MacKenzie Blackwood
 NJD",G,"$2,800,000"
"Joonas Korpisalo
 CBJ",G,"$2,800,000"
"Vladislav Gavrikov
 CBJ",D,"$2,800,000"
"Carson Soucy
 SEA",D,"$2,750,000"
"Oskar Sundqvist
 DET",C,"$2,750,000"
"Chandler Stephenson
 VGK",C,"$2,750,000"
"Carl Hagelin
 WAS",LW,"$2,750,000"
"Warren Foegele
 EDM",LW,"$2,750,000"
"Miles Wood
 NJD",LW,"$2,750,000"
"Jesper Bratt
 NJD",LW,"$2,750,000"
"Brock McGinn
 PIT",LW,"$2,750,000"
"Markus Nutivaara
 FLA",D,"$2,700,000"
"Andreas Athanasiou
 LAK",C,"$2,700,000"
"Gustav Forsling
 FLA",D,"$2,666,667"
"Sean Walker
 LAK",D,"$2,650,000"
"Jason Dickinson
 VAN",C,"$2,650,000"
"Denis Gurianov
 DAL",RW,"$2,550,000"
"Frank Vatrano
 NYR",LW,"$2,533,333"
"Patrik Nemeth
 NYR",D,"$2,500,000"
"Nicholas Ritchie
 ARI",LW,"$2,500,000"
"Brayden McNabb
 VGK",D,"$2,500,000"
"Artem Zub
 OTT",D,"$2,500,000"
"Michal Kempny
 WAS",D,"$2,500,000"
"Nick Jensen
 WAS",D,"$2,500,000"
"Radko Gudas
 FLA",D,"$2,500,000"
"Valeri Nichushkin
 COL",RW,"$2,500,000"
"Henri Jokiharju
 BUF",D,"$2,500,000"
"Casey Mittelstadt
 BUF",C,"$2,500,000"
"Sean Kuraly
 CBJ",C,"$2,500,000"
"Casey Cizikas
 NYI",C,"$2,500,000"
"Tucker Poolman
 VAN",D,"$2,500,000"
"Alexander Georgiev
 NYR",G,"$2,425,000"
"Andrew Mangiapane
 CGY",LW,"$2,425,000"
"Dante Fabbro
 NSH",D,"$2,400,000"
"Erik Haula
 BOS",C,"$2,375,000"
"Jake Bean
 CBJ",D,"$2,333,333"
"Laurent Brossoit
 VGK",G,"$2,325,000"
"Filip Chytil
 NYR",LW,"$2,300,000"
"Luke Kunin
 NSH",C,"$2,300,000"
"Artturi Lehkonen
 COL",LW,"$2,300,000"
"Dillon Dube
 CGY",C,"$2,300,000"
"Dmitry Kulikov
 MIN",D,"$2,250,000"
"Ivan Barbashev
 STL",C,"$2,250,000"
"Cody Eakin
 BUF",C,"$2,250,000"
"Pavel Zacha
 NJD",C,"$2,250,000"
"Radim Simek
 SJS",D,"$2,250,000"
"James Reimer
 SJS",G,"$2,250,000"
"Mike Smith
 EDM",G,"$2,200,000"
"Zemgus Girgensons
 BUF",C,"$2,200,000"
"Theodor Blueger
 PIT",C,"$2,200,000"
"Adin Hill
 SJS",G,"$2,175,000"
"Evander Kane
 EDM",LW,"$2,108,696"
"Jordan Greenway
 MIN",LW,"$2,100,000"
"Adam Erne
 DET",LW,"$2,100,000"
"Nick Bonino
 SJS",C,"$2,050,000"
"Maxime Comtois
 ANA",LW,"$2,037,500"
"Tyson Jost
 MIN",C,"$2,000,000"
"Ethan Bear
 CAR",D,"$2,000,000"
"Marc Staal
 DET",D,"$2,000,000"
"Mattias Janmark
 VGK",C,"$2,000,000"
"Jesper Fast
 CAR",RW,"$2,000,000"
"Antti Raanta
 CAR",G,"$2,000,000"
"Michael Del Zotto
 OTT",D,"$2,000,000"
"Ilya Samsonov
 WAS",G,"$2,000,000"
"Mark Borowiecki
 NSH",D,"$2,000,000"
"Martin Jones
 PHI",G,"$2,000,000"
"Zach Sanford
 WPG",LW,"$2,000,000"
"Ryan Murray
 COL",D,"$2,000,000"
"Pavel Francouz
 COL",G,"$2,000,000"
"Yegor Sharangovich
 NJD",C,"$2,000,000"
"Justin Holl
 TOR",D,"$2,000,000"
"Adrian Kempe
 LAK",LW,"$2,000,000"
"Vladislav Namestnikov
 DAL",C,"$2,000,000"
"Braden Holtby
 DAL",G,"$2,000,000"
"Calle Jarnkrok
 CGY",C,"$2,000,000"
"Erik Gudbranson
 CGY",D,"$1,950,000"
"Trevor Moore
 LAK",LW,"$1,875,000"
"Brett Kulak
 EDM",D,"$1,850,000"
"Jack Roslovic
 CBJ",C,"$1,838,362"
"Janne Kuokkanen
 NJD",C,"$1,825,000"
"Justin Braun
 NYR",D,"$1,800,000"
"Jordan Martinook
 CAR",LW,"$1,800,000"
"Tomas Nosek
 BOS",LW,"$1,750,000"
"Ryan Reaves
 NYR",RW,"$1,750,000"
"Tyler Pitlick
 MTL",RW,"$1,750,000"
"Zach Aston-Reese
 ANA",C,"$1,725,000"
"Ryan Hartman
 MIN",RW,"$1,700,000"
"Sonny Milano
 ANA",LW,"$1,700,000"
"Nick Holden
 OTT",D,"$1,700,000"
"Troy Stecher
 LAK",D,"$1,700,000"
"Nick Blankenburg
 CBJ",D,"$1,688,452"
"Noel Acciari
 FLA",C,"$1,666,666"
"Kyle Turris
 EDM",C,"$1,650,000"
"Jack Campbell
 TOR",G,"$1,650,000"
"Dean Kukan
 CBJ",D,"$1,650,000"
"Ilya Mikheyev
 TOR",LW,"$1,645,000"
"Robert Hagg
 FLA",D,"$1,600,000"
"Anders Bjork
 BUF",LW,"$1,600,000"
"Brendan Lemieux
 LAK",LW,"$1,550,000"
"Rudolfs Balcers
 SJS",LW,"$1,550,000"
"Lawson Crouse
 ARI",LW,"$1,533,333"
"Alexandre Texier
 CBJ",C,"$1,525,000"
"Samuel Blais
 NYR",LW,"$1,500,000"
"Derek Grant
 ANA",LW,"$1,500,000"
"Austin Watson
 OTT",LW,"$1,500,000"
"Garnet Hathaway
 WAS",RW,"$1,500,000"
"Marcus Johansson
 WAS",C,"$1,500,000"
"Conor Sheary
 WAS",LW,"$1,500,000"
"Josh Archibald
 EDM",RW,"$1,500,000"
"Nick Cousins
 NSH",C,"$1,500,000"
"Brandon Hagel
 TBL",LW,"$1,500,000"
"David Kampf
 TOR",C,"$1,500,000"
"Matt Martin
 NYI",LW,"$1,500,000"
"Jaroslav Halak
 VAN",G,"$1,500,000"
"Luke Glendening
 DAL",C,"$1,500,000"
"Travis Dermott
 VAN",D,"$1,500,000"
"Andrej Sekera
 DAL",D,"$1,500,000"
"Jani Hakanpaa
 DAL",D,"$1,500,000"
"Michael Rasmussen
 DET",C,"$1,460,000"
"Troy Terry
 ANA",RW,"$1,450,000"
"Eeli Tolvanen
 NSH",RW,"$1,450,000"
"Scott Mayfield
 NYI",D,"$1,450,000"
"William Carrier
 VGK",LW,"$1,400,000"
"Johan Larsson
 WAS",LW,"$1,400,000"
"Tage Thompson
 BUF",C,"$1,400,000"
"Robert Bortuzzo
 STL",D,"$1,375,000"
"Chris Wagner
 BOS",C,"$1,350,000"
"Jordan Oesterle
 DET",D,"$1,350,000"
"Derek Stepan
 CAR",C,"$1,350,000"
"Riley Stillman
 CHI",D,"$1,350,000"
"Nicholas Paul
 TBL",C,"$1,350,000"
"Ilya Lyubushkin
 TOR",D,"$1,350,000"
"Haydn Fleury
 SEA",D,"$1,300,000"
"Jan Rutta
 TBL",D,"$1,300,000"
"Max Jones
 ANA",LW,"$1,295,000"
"Kris Russell
 EDM",D,"$1,250,000"
"Derek Ryan
 EDM",C,"$1,250,000"
"David Rittich
 NSH",G,"$1,250,000"
"Casey DeSmith
 PIT",G,"$1,250,000"
"Nathan Beaulieu
 PIT",D,"$1,250,000"
"Pierre Engvall
 TOR",LW,"$1,250,000"
"Ondrej Kase
 TOR",RW,"$1,250,000"
"Tyler Motte
 NYR",C,"$1,225,000"
"Frederick Gaudreau
 MIN",C,"$1,200,000"
"Joshua Brown
 BOS",D,"$1,200,000"
"Nolan Patrick
 VGK",C,"$1,200,000"
"Victor Mete
 OTT",D,"$1,200,000"
"Jesse Puljujarvi
 EDM",RW,"$1,175,000"
"Kailer Yamamoto
 EDM",C,"$1,175,000"
"Ross Colton
 TBL",C,"$1,125,000"
"Jonas Siegenthaler
 NJD",D,"$1,125,000"
"Brandon Sutter
 VAN",C,"$1,125,000"
"Dylan Gambrell
 OTT",C,"$1,100,000"
"Danton Heinen
 PIT",C,"$1,100,000"
"Michael Raffl
 DAL",LW,"$1,100,000"
"Nicolas Aube-Kubel
 COL",RW,"$1,075,000"
"Joel Kiviranta
 DAL",LW,"$1,050,000"
"Trent Frederic
 BOS",C,"$1,050,000"
"Vincent Hinostroza
 BUF",C,"$1,050,000"
"Ryan Carpenter
 CGY",C,"$1,000,000"
"Nicolas Deslauriers
 MIN",LW,"$1,000,000"
"Connor Clifton
 BOS",D,"$1,000,000"
"Kodie Curran
 BOS",D,"$1,000,000"
"Christian Fischer
 ARI",C,"$1,000,000"
"Anthony DeAngelo
 CAR",D,"$1,000,000"
"Henrik Borgstrom
 CHI",C,"$1,000,000"
"Matthew Benning
 NSH",D,"$1,000,000"
"Corey Perry
 TBL",RW,"$1,000,000"
"Pierre-Edouard Bellemare
 TBL",LW,"$1,000,000"
"Andrew Cogliano
 COL",LW,"$1,000,000"
"Carter Verhaeghe
 FLA",C,"$1,000,000"
"Darren Helm
 COL",C,"$1,000,000"
"Evan Rodrigues
 PIT",LW,"$1,000,000"
"Kyle Clifford
 TOR",C,"$1,000,000"
"Ross Johnston
 NYI",LW,"$1,000,000"
"Alexander Barabanov
 SJS",RW,"$1,000,000"
"Adam Gaudette
 OTT",C,"$997,500"
"Jujhar Khaira
 CHI",LW,"$975,000"
"Maxim Mamin
 FLA",C,"$975,000"
"Michael Mcleod
 NJD",C,"$975,000"
"Eric Robinson
 CBJ",LW,"$975,000"
"Anthony Stolarz
 ANA",G,"$950,000"
"Mathieu Perreault
 MTL",C,"$950,000"
